#TYPE System.Management.Automation.PSCustomObject,,
Time,User,Event
6/1/2020 11:02,VMHOST\arg0102,Logon
6/1/2020 13:11,VMHOST\arg0102,Logoff
6/2/2020 9:01,VMHOST\arg0102,Logon
6/2/2020 12:03,VMHOST\arg0102,Logoff
6/2/2020 13:20,VMHOST\arg0102,Logon
6/3/2020 13:34,VMHOST\arg0102,Logoff
6/3/2020 13:35,VMHOST\arg0102,Logon
6/3/2020 13:40,VMHOST\arg0102,Logoff
6/3/2020 13:48,VMHOST\arg0102,Logon
6/16/2020 22:19,VMHOST\arg0102,Logoff
6/17/2020 9:08,VMHOST\arg0102,Logon
6/23/2020 14:59,VMHOST\arg0102,Logoff
6/24/2020 8:44,VMHOST\arg0102,Logon
6/29/2020 12:07,VMHOST\arg0102,Logoff
6/29/2020 12:08,VMHOST\arg0102,Logon
6/12/2020 23:56,VMHOST\bboyle,Logon
6/16/2020 22:19,VMHOST\bboyle,Logoff
6/18/2020 8:00,VMHOST\bboyle,Logon
6/1/2020 10:56,VMHOST\ccm009,Logon
6/1/2020 11:01,VMHOST\ccm009,Logoff
6/1/2020 13:00,VMHOST\ccm009,Logon
6/1/2020 13:11,VMHOST\ccm009,Logoff
6/2/2020 9:02,VMHOST\ccm009,Logon
6/2/2020 11:40,VMHOST\ccm009,Logoff
6/2/2020 13:12,VMHOST\ccm009,Logon
6/2/2020 16:19,VMHOST\ccm009,Logoff
6/3/2020 9:09,VMHOST\ccm009,Logon
6/3/2020 9:46,VMHOST\ccm009,Logoff
6/3/2020 9:47,VMHOST\ccm009,Logon
6/3/2020 12:17,VMHOST\ccm009,Logoff
6/3/2020 13:12,VMHOST\ccm009,Logon
6/3/2020 13:41,VMHOST\ccm009,Logoff
6/3/2020 13:48,VMHOST\ccm009,Logon
6/3/2020 15:13,VMHOST\ccm009,Logoff
6/3/2020 15:13,VMHOST\ccm009,Logon
6/3/2020 15:16,VMHOST\ccm009,Logoff
6/3/2020 15:16,VMHOST\ccm009,Logon
6/3/2020 15:22,VMHOST\ccm009,Logoff
6/4/2020 12:48,VMHOST\ccm009,Logon
6/4/2020 12:51,VMHOST\ccm009,Logoff
6/4/2020 12:54,VMHOST\ccm009,Logon
6/16/2020 22:19,VMHOST\ccm009,Logoff
5/31/2020 17:09,VMHOST\cl2020,Logon
5/31/2020 17:10,VMHOST\cl2020,Logoff
6/1/2020 17:26,VMHOST\cl2020,Logon
6/1/2020 18:53,VMHOST\cl2020,Logoff
6/3/2020 10:49,VMHOST\cl2020,Logon
6/3/2020 11:53,VMHOST\cl2020,Logoff
6/3/2020 11:53,VMHOST\cl2020,Logon
6/3/2020 13:41,VMHOST\cl2020,Logoff
6/3/2020 13:54,VMHOST\cl2020,Logon
6/10/2020 14:16,VMHOST\cl2020,Logoff
6/10/2020 20:27,VMHOST\cl2020,Logon
6/11/2020 8:41,VMHOST\cl2020,Logoff
6/11/2020 9:31,VMHOST\cl2020,Logon
6/16/2020 22:19,VMHOST\cl2020,Logoff
6/17/2020 10:28,VMHOST\cl2020,Logon
6/17/2020 19:26,VMHOST\cl2020,Logoff
6/17/2020 19:32,VMHOST\cl2020,Logon
6/19/2020 10:47,VMHOST\cl2020,Logoff
6/19/2020 14:05,VMHOST\cl2020,Logon
6/22/2020 19:39,VMHOST\cl2020,Logoff
6/22/2020 20:01,VMHOST\cl2020,Logon
6/26/2020 10:40,VMHOST\cl2020,Logoff
6/26/2020 13:56,VMHOST\cl2020,Logon
5/30/2020 19:36,VMHOST\clin,Logon
5/30/2020 22:52,VMHOST\clin,Logoff
5/31/2020 13:52,VMHOST\clin,Logon
5/31/2020 15:41,VMHOST\clin,Logoff
5/31/2020 16:26,VMHOST\clin,Logon
5/31/2020 16:34,VMHOST\clin,Logoff
5/31/2020 16:37,VMHOST\clin,Logon
5/31/2020 17:25,VMHOST\clin,Logoff
5/31/2020 19:35,VMHOST\clin,Logon
6/1/2020 13:11,VMHOST\clin,Logoff
6/1/2020 13:16,VMHOST\clin,Logon
6/1/2020 16:05,VMHOST\clin,Logoff
6/1/2020 16:13,VMHOST\clin,Logon
6/1/2020 16:53,VMHOST\clin,Logoff
6/1/2020 16:54,VMHOST\clin,Logon
6/1/2020 16:56,VMHOST\clin,Logoff
6/1/2020 17:25,VMHOST\clin,Logon
6/1/2020 18:52,VMHOST\clin,Logoff
6/1/2020 18:53,VMHOST\clin,Logon
6/1/2020 18:55,VMHOST\clin,Logoff
6/1/2020 18:55,VMHOST\clin,Logon
6/2/2020 11:38,VMHOST\clin,Logoff
6/2/2020 11:38,VMHOST\clin,Logon
6/2/2020 12:03,VMHOST\clin,Logoff
6/2/2020 12:08,VMHOST\clin,Logon
6/3/2020 13:42,VMHOST\clin,Logoff
6/3/2020 13:48,VMHOST\clin,Logon
6/10/2020 14:19,VMHOST\clin,Logoff
6/11/2020 8:22,VMHOST\clin,Logon
6/16/2020 22:19,VMHOST\clin,Logoff
6/16/2020 22:28,VMHOST\clin,Logon
6/17/2020 8:44,VMHOST\clin,Logoff
6/17/2020 10:26,VMHOST\clin,Logon
6/17/2020 21:00,VMHOST\clin,Logoff
6/17/2020 21:00,VMHOST\clin,Logon
6/19/2020 10:46,VMHOST\clin,Logoff
6/19/2020 11:32,VMHOST\clin,Logon
6/19/2020 16:40,VMHOST\clin,Logoff
6/20/2020 9:15,VMHOST\clin,Logon
6/24/2020 14:21,VMHOST\clin,Logoff
6/25/2020 11:27,VMHOST\clin,Logon
6/15/2020 8:27,VMHOST\cmoran,Logon
6/16/2020 22:19,VMHOST\cmoran,Logoff
6/17/2020 19:48,VMHOST\cmoran,Logon
6/1/2020 13:04,VMHOST\jeb0100,Logon
6/1/2020 13:11,VMHOST\jeb0100,Logoff
6/1/2020 13:19,VMHOST\jeb0100,Logon
6/1/2020 16:05,VMHOST\jeb0100,Logoff
6/2/2020 9:03,VMHOST\jeb0100,Logon
6/2/2020 12:03,VMHOST\jeb0100,Logoff
6/2/2020 13:11,VMHOST\jeb0100,Logon
6/3/2020 13:42,VMHOST\jeb0100,Logoff
6/3/2020 13:48,VMHOST\jeb0100,Logon
6/16/2020 22:19,VMHOST\jeb0100,Logoff
6/17/2020 21:06,VMHOST\jeb0100,Logon
6/1/2020 10:55,VMHOST\mtw004,Logon
6/1/2020 13:11,VMHOST\mtw004,Logoff
6/1/2020 13:16,VMHOST\mtw004,Logon
6/1/2020 16:05,VMHOST\mtw004,Logoff
6/1/2020 21:33,VMHOST\mtw004,Logon
6/2/2020 12:03,VMHOST\mtw004,Logoff
6/2/2020 13:02,VMHOST\mtw004,Logon
6/3/2020 13:42,VMHOST\mtw004,Logoff
6/3/2020 13:49,VMHOST\mtw004,Logon
6/16/2020 22:19,VMHOST\mtw004,Logoff
6/17/2020 9:13,VMHOST\mtw004,Logon
6/24/2020 18:16,VMHOST\mtw004,Logoff
6/24/2020 18:16,VMHOST\mtw004,Logon
6/29/2020 13:59,VMHOST\mtw004,Logoff
6/29/2020 13:59,VMHOST\mtw004,Logon
6/10/2020 10:54,VMHOST\tzhang,Logon
6/16/2020 22:19,VMHOST\tzhang,Logoff
6/17/2020 8:11,VMHOST\tzhang,Logon
